"participant_id","consent_age","consent_read","consent_participation","used_outside_study","motivation_use_accounts","what_to_change_specific","how_confident_secure","elaborate_confident_secure","how_confident_remember","elaborate_confident_remember","what_to_change_general","email_accounts","bank_accounts","work_accounts","retail_website_accounts","social_media_accounts","platform_none_of_the_above","platform_other_value","store_write_down","physical_note","save_as_file","save_in_browser","third_party_manager","system_provide_manager","mem_act_none_of_the_above","mem_act_other_value"
"190","1","1","1","No",,"nothing","Moderately confident","I think it is relatively strong, but more randomized characters are harder to guess.","Not confident","It's a lot to remember. If I made it a regular process I would probably be more confident.","nothing.","0","0","0","0","0","1",NULL,"0","1","0","0","0","0","0",NULL
"192","1","1","1","No","This password would be more difficult for a hacker to unlock or decipher.","I would want the five words to have a stronger relation to one another so that it would be easier to remember.","Confident","I am quite confident but not 100%. I am not familiar with the strategies and systems used by hackers, but these five words seem so random that it is likely to keep my online accounts safe.","Slightly confident","I would only remember this password if I wrote it down somewhere. When taking this second round survey, I tried to rely on my memory and failed miserably.","The words should be related or should convey a complete sentence.","1","0","0","0","0","0",NULL,"1","0","0","0","0","0","0",NULL
"194","1","1","1","No","I feel like I could have a 5-word password that is specific to each retail site","I would have each password be custom for the site, to keep it secure.","Very confident","Computers are good at cracking passwords that are hard to remember because they are short.  5 word passwords would have so many characters it would be more difficult to crack with brute force.","Moderately confident","I'd need to write it down to be sure, but after enough uses, I'm sure I'd remember it","I wouldn't change anything about the 5-word password concept, maybe just that they'd be accepted as secure instead of forcing numbers and special characters","0","0","0","1","0","0",NULL,"0","0","1","0","0","0","0",NULL
"195","1","1","1","No","I think it is secure","nothing","Confident","I believe that they are long enough and use special characters which make the password secure.","Slightly confident","I would need to use a system to remember different 5 word passwords","Nothing","0","0","0","0","1","0",NULL,"1","0","0","0","0","0","0",NULL
"196","1","1","1","No",,"Nothing","Moderately confident","They would be hard to guess, but I don't think theyre inpenetrable.","Moderately confident","It would be easier to remember than random letters and numbers","nothing","0","0","0","0","0","1",NULL,"0","0","0","0","0","0","1",NULL
"197","1","1","1","No","To make my accounts more secured.","Nothing.","Slightly confident","I'm not sure how secure they are.  They are better then what I use now.","Not confident","My memory isn't the best.","Nothing.","1","1","1","1","1","0",NULL,"0","0","0","0","0","0","1",NULL
"198","1","1","1","No","I think a five word password like this would be impossible to guess so I think it would be a good password.","more and more places make you use uppercase and lowercase letters and a number or symbol, so a password like Summer.rush.react.play.shout1 may be a better combo for those trickier password requirements. ","Confident","I feel pretty confident about five-word passwords because they seem like they would be secure and very hard to guess.","Slightly confident","I think it would be easier for me to remember something like i.love.my.partner or i.love.my.dog.hudson. Or something like my.child.was.born.in.2009! Like a sentence would be easier but I guess it wouldn't be as secure. ","Other than what I've already said, I can't think of anything. ","1","0","0","0","0","0",NULL,"0","0","0","0","0","0","1",NULL
"199","1","1","1","No","It is complicated enough to not be guessed.","I would add some numbers or other special symbols.","Confident","I think five word passwords are very safe in general. They are extremely very hard to guess.","Slightly confident","I do not think I would be able to remember several five word passwords.","Don't know.","1","0","1","1","1","0",NULL,"1","0","0","0","0","0","0",NULL
"201","1","1","1","No",,"nothing","Confident","the string is long enough to have sufficient complexity.","Not confident","it seems difficult, but I have not tried it so....","nothing","0","0","0","0","0","1",NULL,"0","1","0","0","0","0","0",NULL
"202","1","1","1","No","The risk for personal loss or hacking is much lower in the work environment.","I would use more memorable words, or perhaps a phrase I could easily recall.","Confident","It would be very difficult to capture or hack a phrase that only I am familiar with, and it is long enough to be very challenging.","Moderately confident","The greater the number of passwords, especially five words at a time, the more challenging it will be to keep track of which phrase goes with which site.","Perhaps an acronym where you remember five letters for each word, and then tweak it over time.","0","0","1","0","0","0",NULL,"0","1","0","0","0","0","0",NULL
"203","1","1","1","No","they are a bit tough but also very easy to remember to some degree if used often.","I want to be able to have more word choices in the future.","Slightly confident","I think if many people used this, than it's possible it could be cracked easier but not really sure. I honestly prefer to use special character as well as numbers and capital as well a lowercase letters.","Not confident","Unless I can choose the words that I truly like, I would forget.","Have a larger word bank to work with.","0","0","1","1","0","0",NULL,"0","0","0","0","0","0","0","I had to click that I forgot my password."
"204","1","1","1","No",,"None, I would never use a password like this","Not confident","password like this without special characters nor numbers is very easy to break with brutal force","Moderately confident","those are easier to remember than random strings, but still easy to mix up among accounts","add numbers and special characters in between","0","0","0","0","0","1",NULL,"0","0","0","0","0","0","0","i forgot..."
"205","1","1","1","No","to have a secure password set up","the words used would change if I set up a 5 word password","Confident","It is better than a random thought up password, I feel like it would be too hard to guess a 5 word password","Slightly confident","I think I can remember a couple but it would get confusing after enough accounts had this type password","nothing","1","0","0","0","1","0",NULL,"1","0","0","0","0","0","0",NULL
"206","1","1","1","No",," have symbles","Not confident","to point yes but to a point no","Slightly confident","if i have software like bitwarden yes","numbers and symbals","0","0","0","0","0","1",NULL,"0","0","1","0","0","0","0",NULL
"208","1","1","1","No",,"Include uppercase letters, numbers, and possibly symbols.","Slightly confident","Not complex enough. A dictionary attack could hit it eventually. ","Not confident","Zero confidence.","Again, make them more complex. I would use a password manager instead.","0","0","0","0","0","1",NULL,"0","0","0","0","0","0","1",NULL
"209","1","1","1","No",,"There is nothing that I would change.","Confident","I feel that it would be confident for the five word password to be capable of keeping my online accounts safe.","Confident","I would be confident of using the five word password.","There is nothing.","0","0","0","0","0","1",NULL,"0","1","0","0","0","0","0",NULL
"210","1","1","1","No","I believe it's so random, that it's a safe password.","I would like to remove all periods except for the very last one.","Slightly confident","They seem to be pretty random and I think it would be hard for someone to guess them. I wish they had more special characters though.","Not confident","My memory is not that good.","Take out some of the periods and add in a capital letter and special characters.","0","0","0","1","0","0",NULL,"1","0","0","0","0","0","0",NULL
"211","1","1","1","No",,"Probably the length. It is too long to have to enter every time.","Confident","I imagine, given its length, it could be difficult to guess all the characters.","Not confident","It just seems like a lot to have to recall, especially if I use different passwords.","Probably the length, honestly.","0","0","0","0","0","1",NULL,"0","0","0","0","0","0","1",NULL
"212","1","1","1","No","I usually forget about my social media account passwords because I rarely access all of them. I need something like five-word passwords so that I can memorize it easily and never forget about them. Same reason applies to retail websites because I rarely access all of them or passwords are most of the time saved therefore I need five-word passwords.","There is nothing I want to change about password.","Moderately confident","It is very hard to copy, replicate, or guess the five word password for someone who is trying to get access to my account.","Moderately confident","It wont be difficult to remember all the five words passwords for many different account if I get to choose them. ","Nothing","0","0","0","1","1","0",NULL,"1","0","0","0","0","0","0",NULL
"214","1","1","1","No",,"Make the words flow so its easier to remember","Not confident","Using words as passwords isn't a good idea","Not confident","I don't put effort into memorizing passwords","I dont care","0","0","0","0","0","1",NULL,"0","0","0","0","0","0","0","I didn't remember it"
"216","1","1","1","No","It's a decently secure password that I can remember for frequently used accounts","I would add numbers and capital letters","Moderately confident","I think they're probably pretty secure, though I think that maybe them being actual words makes them a little less secure","Confident","I am pretty confident I can remember them if I structure them right, but not 100% confident because I think I would mix up the words for different passwords if I used five-word passwords for multiple things","I would add different symbols in between words, as well as numbers and capital letters to make them extra secure","1","0","0","1","1","0",NULL,"1","0","0","0","0","0","0",NULL
"218","1","1","1","No",,"I don't think there's anything I would change.","Moderately confident","I am confident about them but I don't think they are as secure as passwords with different characters.","Slightly confident","They are just seemingly random words strung together so I think it'd be easy to forget.","I would change it to be something shorter and easier to remember.","0","0","0","0","0","1",NULL,"0","0","0","0","0","0","1",NULL
"219","1","1","1","No",,"None. I am not really interested in using my five-word password or any five-word passwords in general.","Not confident","Since five-word passwords do not contain any numbers or special characters, I feel that they are more susceptible to brute force attacks.","Not confident","There's no way I can reliably memorize multiple unique five-word passwords.","None.","0","0","0","0","0","1",NULL,"0","0","0","0","0","0","1",NULL
"221","1","1","1","No","If you add a few numbers and special characters it should be plenty secure.","The length. I'd prefer 13+ characters.","Confident","Using uppercase, lowercase, numbers and symbols above 13 characters should be safe for most online activities.","Not confident","No. I'm not confident about remembering that many large passwords without some digital way to store them.","Have a minimum amount of characters that will do the job.","1","1","0","1","0","0",NULL,"0","0","1","0","0","0","0",NULL
"222","1","1","1","No",,"I wouldn't change anything because I remembered this one pretty easily. Also if I altered it in some way I'd probably mix part of it up with what it was originally and have a harder time remembering it.","Moderately confident","I've always heard that you shouldn't use words as your password because they can be hacked/figured out more easily. However there are tons of words so I would think it would be tough to come up with the correct combination of five random words so your accounts would probably be pretty well protected.","Slightly confident","It was pretty easy to remember one but I think it would be much harder to remember multiple ones. I think I would be at risk of combining them and mixing a word or two from a different password.","The only thing I'd maybe want to change is if it's possible to get rid of the period in the password because sometimes I just want to type the words and almost forget to put the dot between them.","0","0","0","0","0","1",NULL,"1","0","0","0","0","0","0",NULL
"225","1","1","1","Yes","Easy memory","I didn't change it.","Confident","I am very confident. The five -character password has its own characteristics, and the combination is ever -changing.","Slightly confident","It is easy to remember between a few different five -character passwords.","Never modified.","0","0","0","0","1","0",NULL,"0","1","0","0","0","0","0",NULL
"226","1","1","1","No","I find that this password closely aligns to what I use social media for so I would be more likely to remember this password.","I would like to potentially a couple of uppercase letters and possibly a number or two in there.","Slightly confident","I prefer my passwords to contain a whole mix of characters. Things such as numbers, questions marks etc make me feel a lot more confident about my password.","Very confident","I always store my passwords digitally so I won't have any trouble remembering them.","I would simply like to add capital letters in my five-word passwords.","0","0","0","0","1","0",NULL,"0","0","1","0","0","0","0",NULL
"227","1","1","1","Yes","It's very hard to crack, but easy to remember","Nothing","Very confident","like i said earlier, they are very hard to crack","Confident","I strongly feel it won't be hard to remember","Nothing","1","0","0","0","1","0",NULL,"1","0","0","0","0","0","0",NULL
"228","1","1","1","Yes","It is secure and has many letters","put a extra letter","Confident","it has many dots after words and it is harder to hack","Moderately confident","I forget more no a days","none so far","0","0","0","0","1","0",NULL,"0","0","0","0","0","0","1",NULL
